sample_index,source_section,target_section,label,note,occurrence_count,contexts
82,6611,6621,valid,,1," allowed and paid upon any overpayment in respect of any internal revenue tax at the overpayment rate established under section 6621. (b) Period Such interest shall be allowed and paid as follows: (1) Credits In the case of a credit, from the date of the overpayment to the due date of the amount against which the credit is taken. (2) Refunds In the c"
83,1245,332,valid,,1," of a transferee is determined by reference to its basis in the hands of the transferor by reason of the application of section 332, 351, 361, 721, or 731, then the amount of gain taken into account by the transferor under subsection (a)(1) shall not exceed the amount of gain recognized to the transferor on the transfer of such property (determined without regard to this "
84,6901,6324,valid,,1,"s donee, heir, legatee, devisee, and distributee, and with respect to estate taxes, also includes any person who, under section 6324(a)(2), is personally liable for any part of such tax. (i) Extension of time For extensions of time by reason of armed service in a combat zone, see section 7508. "
85,1503,50,valid,,1,"sis for purposes of computing earnings and profits, and (B) in the case of any property, for any basis adjustment under section 50(c). (4) Elimination of election to reduce basis of indebtedness Nothing in the regulations prescribed under section 1502 shall permit any reduction in the amount otherwise included in gross income by reason of an excess lo"
86,4105,4101,valid,,1," means a transaction, other than a sale, in which taxable fuel is transferred from a delivering person registered under section 4101 as a taxable fuel registrant to a receiving person who is so registered where all of the following occur: (1) The transaction includes a transfer from the delivering person, who holds the inventory position for taxable "
87,2044,2519,valid,,1,"ion 2056 by reason of subsection (b)(7) thereof, or (B) under section 2523 by reason of subsection (f) thereof, and (2) section 2519 (relating to dispositions of certain life estates) did not apply with respect to a disposition by the decedent of part or all of such property. (c) Property treated as having passed from decedent For purposes of this ch"
88,535,241,valid,,1,"ductions disallowed The special deductions for corporations provided in part VIII (except section 248) of subchapter B (section 241 and following, relating to the deduction for dividends received by corporations, etc.) shall not be allowed. (4) Net operating loss The net operating loss deduction provided in section 172 shall not be allowed. (5) Capi"
89,312,302,valid,,1,"ntage of completion method of accounting. (7) Redemptions If a corporation distributes amounts in a redemption to which section 302(a) or 303 applies, the part of such distribution which is properly chargeable to earnings and profits shall be an amount which is not in excess of the ratable share of the earnings and profits of such corporation accumulated afte"
90,6658,6655,valid,,1,"§ 6658. Coordination with title 11 (a) Certain failures to pay tax No addition to the tax shall be made under section 6651, 6654, or 6655 for failure to make timely payment of tax with respect to a period during which a case is pending under title 11 of the United States Code— (1) if such tax was incurred by the estate and the failure occurred pursuant to"
91,162,152,valid,,1," care for— (A) the taxpayer, (B) the taxpayer’s spouse, (C) the taxpayer’s dependents, and (D) any child (as defined in section 152(f)(1)) of the taxpayer who as of the end of the taxable year has not attained age 27. (2) Limitations (A) Dollar amount No deduction shall be allowed under paragraph (1) to the extent that the amount of such deduction exceeds"
92,5061,5043,valid,,1,"irits, wines, and beer under— (1) section 5001(a)(4), (5), or (6), (2) section 5006(c) or (d), (3) section 5041(f), (4) section 5043(a)(3), (5) section 5054(a)(3) or (4), or (6) section 5505(a), shall be immediately due and payable at the time provided by such provisions (or if no specific time for payment is provided, at the time the event referred to in "
93,5761,6665,valid,,2," physical presence of the buyer when the buyer obtains personal possession of the tobacco product. (e) Applicability of section 6665 The penalties imposed by subsections (b) and (c) shall be assessed, collected, and paid in the same manner as taxes, as provided in section 6665(a). (f) Cross references For penalty for failure to make deposits or for o
---
s imposed by subsections (b) and (c) shall be assessed, collected, and paid in the same manner as taxes, as provided in section 6665(a). (f) Cross references For penalty for failure to make deposits or for over­statement of deposits, see section 6656. "
94,5314,5214,valid,,4,"ommonwealth of Puerto Rico, for the enactment of a law. (2) In general Distilled spirits for the purposes authorized in section 5214(a)(2) and (3), denatured distilled spirits, and articles, as described in this paragraph, produced or manufactured in Puerto Rico, may be brought into the United States free of any tax imposed by section 5001(a)(9) or 7652(a)
---
ly in Puerto Rico in respect of— (A) distilled spirits for shipment to the United States for the purposes authorized in section 5214(a)(2) and (3); (B) distilled spirits for denaturation; (C) denatured distilled spirits for shipment to the United States; (D) denatured distilled spirits for use in the manufacture of articles for shipment to the United State
---
ch expenses were originally charged. (b) Virgin Islands (1) In general Distilled spirits for the purposes authorized in section 5214(a)(2) and (3), denatured distilled spirits, and articles, as described in this paragraph, produced or manufactured in the Virgin Islands, may be brought into the United States free of any tax imposed by section 7652(b)(1) for
---
he Virgin Islands in respect of— (A) distilled spirits for shipment to the United States for the purposes authorized in section 5214(a)(2) and (3); (B) distilled spirits for denaturation; (C) denatured distilled spirits for shipment to the United States; (D) denatured distilled spirits for use in the manufacture of articles for shipment to the United State"
95,432,704,invalid,"title 5, United States Code",1,"ranty Corporation and the Secretary of Labor, of an application shall be treated as final agency action for purposes of section 704 of title 5 , United States Code. (iv) Agency review In evaluating whether the plan sponsor has met the criteria specified in clause (ii) of subparagraph (C), the Secretary of the Treasury, in consultation with the Pensi"
96,1367,1368,valid,,1,"ch period: (A) distributions by the corporation which were not includible in the income of the shareholder by reason of section 1368, (B) the items of loss and deduction described in subparagraph (A) of section 1366(a)(1), (C) any nonseparately computed loss determined under subparagraph (B) of section 1366(a)(1), (D) any expense of the corporation n"
97,264,1016,valid,,1,"i) in the case of assets of the taxpayer not described in clause (i), the average adjusted bases (within the meaning of section 1016) of such assets. (3) Unborrowed policy cash value For purposes of this subsection, the term “unborrowed policy cash value” means, with respect to any life insurance policy or annuity or endowment contract, the excess of"
98,26,881,valid,,1,"n 7518(g)(6) (relating to nonqualified withdrawals from capital construction funds taxed at highest marginal rate), (L) sections 871(a) and 881 (relating to certain income of nonresident aliens and foreign corporations), (M) section 860E(e) (relating to taxes with respect to certain residual interests), (N) section 884 (relating to branch profits tax), (O) sect"
99,954,11,valid,,1,"fective rate of income tax imposed by a foreign country greater than 90 percent of the maximum rate of tax specified in section 11. (5) Deductions to be taken into account For purposes of subsection (a), the foreign personal holding company income, the foreign base company sales income, and the foreign base company services income shall be reduced,"
100,2505,2502,valid,,1,"ceding calendar periods. For purposes of applying paragraph (2) for any calendar year, the rates of tax in effect under section 2502(a)(2) for such calendar year shall, in lieu of the rates of tax in effect for preceding calendar periods, be used in determining the amounts allowable as a credit under this section for all preceding calendar periods. (b) Adj"
101,6428A,1505,invalid,"title 38, United States Code",1,"lude any individual if such compensation or pension payment is not payable, or was reduced, for such month by reason of section 1505 or 5313 of title 38, United States Code. (G) Subsequent determinations and redeterminations not taken into account For purposes of this section, any individual’s status as a specified social security beneficiary, a specified su"
102,1311,7122,valid,,1," paragraph of section 1312 is prevented by the operation of any law or rule of law, other than this part and other than section 7122 (relating to compromises), then the effect of the error shall be corrected by an adjustment made in the amount and in the manner specified in section 1314. (b) Conditions necessary for adjustment (1) Maintenance of an i"
103,535,563,valid,,1,cumulated earnings and profits at the close of the preceding taxable year shall be reduced by the dividends which under section 563(a) (relating to dividends paid after the close of the taxable year) are considered as paid during such taxable year. (5) Cross reference For limitation on credit provided in paragraph (2) or (3) in the case of certain cont
104,45D,55,valid,,1, tax imposed by this chapter for purposes of determining the amount of any credit under this chapter or for purposes of section 55. (h) Basis reduction The basis of any qualified equity investment shall be reduced by the amount of any credit determined under this section with respect to such investment. This subsection shall not apply for purposes
105,6206,6675,valid,,2," portion of a payment made under section 6420, 6421, 6427, or 6435 which constitutes an excessive amount (as defined in section 6675(b)), and any civil penalty provided by section 6675, may be assessed and collected as if it were a tax imposed by section 4081 (with respect to refunds under section 6416(a)(4) and payments under sections 6420, 6421, and 6
---
 6427, or 6435 which constitutes an excessive amount (as defined in section 6675(b)), and any civil penalty provided by section 6675, may be assessed and collected as if it were a tax imposed by section 4081 (with respect to refunds under section 6416(a)(4) and payments under sections 6420, 6421, and 6435), or 4041 or 4081 (with respect to payments u"
106,7702B,818,valid,,1,"), (iii) described in section 403(b), (iv) provided for employees of a life insurance company under a plan described in section 818(a)(3), or (v) from an individual retirement account or an individual retirement annuity. (C) A contract purchased by an employer for the benefit of the employee (or the employee’s spouse). Any dividend described in section 40"
107,6603,6621,valid,,1,". (4) Rate of interest The rate of interest under this subsection shall be the Federal short-term rate determined under section 6621(b), compounded daily. (e) Use of deposits (1) Payment of tax Except as otherwise provided by the taxpayer, deposits shall be treated as used for the payment of tax in the order deposited. (2) Returns of deposits Deposits s"
108,6521,7122,valid,,2,"f the error is authorized as to one such tax but is prevented as to the other tax by any law or rule of law (other than section 7122, relating to compromises), then, if the correction authorized is made, the amount of the assessment, or the amount of the credit or refund, as the case may be, authorized as to the one tax shall be reduced by the amount
---
f such credit or refund, or such assessment, of such other tax were not prevented by any law or rule of law (other than section 7122, relating to compromises). (b) Definitions For purposes of subsection (a), the terms “self-employment income” and “wages” shall have the same meaning as when used in section 1402(b). "
109,1015,2503,valid,,2,"ceding calendar period) in which such gift is made as the amount of such gift bears to the taxable gifts (as defined in section 2503(a) but computed without the deduction allowed by section 2521) made by the donor during such calendar year or period. For purposes of the preceding sentence, the amount of any gift shall be the amount included with respect
---
ence, the amount of any gift shall be the amount included with respect to such gift in determining (for the purposes of section 2503(a)) the total amount of gifts made during the calendar year or period, reduced by the amount of any deduction allowed with respect to such gift under section 2522 (relating to charitable deduction) or under section 2523 (r"
110,147,142,valid,,1,blic-private schools Subsection (c) shall not apply to any exempt facility bond issued as part of an issue described in section 142(a)(13) (relating to qualified public educational facilities).
111,3134,1396,valid,,1,"raph (A)(ii)(II) thereof. (D) Exception The term “qualified wages” shall not include any wages taken into account under sections 41, 45A, 45P, 45S, 51, 1396, 3131, and 3132. (4) Wages (A) In general The term “wages” means wages (as defined in section 3121(a)) and compensation (as defined in section 3231(e)). For purposes of the preceding sentence, in the case of any organization or entity "
112,1371,1362,valid,,2,"1368(c)(2). (d) Coordination with investment credit recapture (1) No recapture by reason of election Any election under section 1362 shall be treated as a mere change in the form of conducting a trade or business for purposes of the second sentence of section 50(a)(6). (2) Corporation continues to be liable Notwithstanding an election under section 1
---
es of the second sentence of section 50(a)(6). (2) Corporation continues to be liable Notwithstanding an election under section 1362, an S corporation shall continue to be liable for any increase in tax under section 49(b) or 50(a) attributable to credits allowed for taxable years for which such corporation was not an S corporation. (3) Adjustment to"
113,3510,3121,valid,,1,"f this subsection, the term “domestic service in a private home of the employer” includes domestic service described in section 3121(g)(5). (d) Exception where employer liable for other employment taxes To the extent provided in regulations prescribed by the Secretary, this section shall not apply to any employer for any calendar year if such employer is l"
114,6611,6406,valid,,1,"x liability shown on the return. (h) Prohibition of administrative review For prohibition of administrative review, see section 6406. "
115,411,501,valid,,1," for employer contributions, and (D) a plan established and maintained by a society, order, or association described in section 501(c)(8) or (9), if no part of the contributions to or under such plan are made by employers of participants in such plan. (2) A plan described in paragraph (1) shall be treated as meeting the requirements of this section, for p"
116,2622,2053,valid,,1,"certain expenses For purposes of subsection (a), there shall be allowed a deduction similar to the deduction allowed by section 2053 (relating to expenses, indebtedness, and taxes) for amounts attributable to the property with respect to which the taxable termination has occurred. "
117,6601,1,valid,,1,"ll be increased by an amount equal to— (A) $1,000,000, multiplied by (B) the cost-of-living adjustment determined under section 1(f)(3) for such calendar year by substituting “calendar year 1997” for “calendar year 2016” in subparagraph (A)(ii) thereof. If any amount as adjusted under the preceding sentence is not a multiple of $10,000, such amount shal"
118,23,931,valid,,1," of adjusted gross income For purposes of subparagraph (A), adjusted gross income shall be determined without regard to sections 911, 931, and 933. (3) Denial of double benefit (A) In general No credit shall be allowed under subsection (a) for any expense for which a deduction or credit is allowed under any other provision of this chapter. (B) Grants No credit sha"
119,6233,6603,valid,,1," Deposit to suspend interest For rules allowing deposits to suspend running of interest on potential underpayments, see section 6603. "
120,6215,6161,valid,,1,"gs, see generally subchapter C of chapter 76. (6) For extension of time for paying amount determined as deficiency, see section 6161(b). "
121,6433,416,valid,,1," 403(b), 408(a)(1), 408(b)(2)(B), 408A(c)(2), 414(v)(2), 415(c), or 457(b)(2), and shall be disregarded for purposes of sections 401(a)(4), 401(k)(3), 401(k)(11)(B)(i)(III), and 416, and (C) such contribution shall not be treated as an amount that may be paid, made available, or distributable to the participant under section 401(k)(2)(B)(i)(IV), 403(b)(7)(A)(i)(V), or 457(d)(1)(A)(iii). (3) Treatme"
122,755,1231,valid,,1," of, or a transfer of an interest attributable to, property consisting of— (1) capital assets and property described in section 1231(b), or (2) any other property of the partnership, shall be allocated to partnership property of a like character except that the basis of any such partnership property shall not be reduced below zero. If, in the case of a "
123,264,7702A,valid,,1,"Master contracts If coverage for each insured under a master contract is treated as a separate contract for purposes of sections 817(h), 7702, and 7702A, coverage for each such insured shall be treated as a separate contract for purposes of subparagraph (A). For purposes of the preceding sentence, the term “master contract” shall not include any group life insurance con"
124,6720,1,valid,,2,"cle to which section 170(f)(12)(A)(ii) applies, the greater of— (A) the product of the highest rate of tax specified in section 1 and the sales price stated on the acknowledgment, or (B) the gross proceeds from the sale of such vehicle, and (2) in the case of an acknowledgment with respect to any other qualified vehicle to which section 170(f)(12)
---
ed vehicle to which section 170(f)(12) applies, the greater of— (A) the product of the highest rate of tax specified in section 1 and the claimed value of the vehicle, or (B) $5,000. "
125,7272,7011,valid,,1,"er under section 4101). (b) Cross references For provisions relating to persons required by this title to register, see sections 4101, 4412, and 7011. "
126,3131,3231,valid,,1,"n 3121(a), determined without regard to paragraphs (1) through (22) of section 3121(b)) and compensation (as defined in section 3231(e), determined without regard to the sentence in paragraph (1) thereof which begins “Such term does not include remuneration”). (3) Denial of double benefit For purposes of chapter 1, the gross income of the employer, for "
127,1402,933,valid,,1,"ompute his net earnings from self-employment in the same manner as a citizen of the United States but without regard to section 933; (7) the deduction for personal exemptions provided in section 151 shall not be allowed; (8) an individual who is a duly ordained, commissioned, or licensed minister of a church or a member of a religious order shall co"
128,6432,501,valid,,2," of any of the foregoing, and any agency or instrumentality of the Government of the United States that is described in section 501(c)(1) and exempt from taxation under section 501(a). (e) Denial of double benefit For purposes of chapter 1, the gross income of any person allowed a credit under this section shall be increased for the taxable year which inc
---
umentality of the Government of the United States that is described in section 501(c)(1) and exempt from taxation under section 501(a). (e) Denial of double benefit For purposes of chapter 1, the gross income of any person allowed a credit under this section shall be increased for the taxable year which includes the last day of any calendar quarter wit"
129,937,957,valid,,1,"a fide resident For purposes of this subpart, section 865(g)(3), section 876, section 881(b), paragraphs (2) and (3) of section 901(b), section 957(c), section 3401(a)(8)(C), and section 7654(a), except as provided in regulations, the term “bona fide resident” means a person— (1) who is present for at least 183 days during the taxable year in Guam, American Samoa, the Northern Mariana Islands, Puerto Rico, or t"
130,736,707,valid,,1," amount thereof is determined with regard to the income of the partnership, or (2) as a guaranteed payment described in section 707(c) if the amount thereof is determined without regard to the income of the partnership. (b) Payments for interest in partnership (1) General rule Payments made in liquidation of the interest of a retiring partner or a dece"
131,45V,211,invalid,Clean Air Act,1,"graph (B), the term “lifecycle greenhouse gas emissions” has the same meaning given such term under subparagraph (H) of section 211( o )(1) of the Clean Air Act ( 42 U.S.C. 7545 ( o )(1)), as in effect on the date of enactment of this section. (B) GREET model The term “lifecycle greenhouse gas emissions” shall only include emissions through the poin"
132,1403,6017,valid,,1,"ed as the “Self-Employment Contributions Act of 1954”. (b) Cross references (1) For provisions relating to returns, see section 6017. (2) For provisions relating to collection of taxes in Virgin Islands, Guam, American Samoa, and Puerto Rico, see section 7651. "
133,25B,529A,valid,,1,"nt of contributions made by the eligible individual during such taxable year to the ABLE account (within the meaning of section 529A) of which such individual is the designated beneficiary, and (B) in the case of any taxable year beginning before January 1, 2027 — (i) the amount of the qualified retirement contributions (as defined in section 219(e))"
134,842,894,valid,,1,ch would be subject to tax under section 881 if the amount taxable under such section were determined without regard to sections 103 and 894. (B) Limitation on reduction The reduction under subparagraph (A) shall not exceed the increase in taxes under part I or II (as the case may be) by reason of the increase in effectively connected income of the company r
135,6427,6675,valid,,1," as imposed by section 4041(a). (p) Cross references (1) For civil penalty for excessive claims under this section, see section 6675. (2) For fraud penalties, etc., see chapter 75 (section 7201 and following, relating to crimes, other offenses, and forfeitures). (3) For treatment of an Indian tribal government as a State (and a subdivision of an Indi"
136,31,3402,valid,,1,"it under such regulations shall, for purposes of this subtitle, be considered an amount withheld at source as tax under section 3402. (2) Year of credit Any amount to which paragraph (1) applies shall be allowed as a credit for the taxable year beginning in the calendar year during which the wages were received. If more than one taxable year begins i"
137,6427,7201,valid,,1,"civil penalty for excessive claims under this section, see section 6675. (2) For fraud penalties, etc., see chapter 75 (section 7201 and following, relating to crimes, other offenses, and forfeitures). (3) For treatment of an Indian tribal government as a State (and a subdivision of an Indian tribal government as a political subdivision of a State), "
138,7421,6212,valid,,1,"§ 7421. Prohibition of suits to restrain assessment or collection (a) Tax Except as provided in sections 6015(e), 6212(a) and (c), 6213(a), 6232(c), 6330(e)(1), 6331(i), 6672(c), 6694(c), 7426(a) and (b)(1), 7429(b), and 7436, no suit for the purpose of restraining the assessment or collection of any tax shall be maintained in any court by"
139,408,3401,valid,,1,". For purposes of the preceding sentence, amounts described in section 6051(a)(3) shall be determined without regard to section 3401(a)(3). (ii) Self-employed In the case of an employee described in subparagraph (B), the term “compensation” means net earnings from self-employment determined under section 1402(a) without regard to any contribution under thi"
140,1361,501,valid,,2,"rganizations permitted as shareholders For purposes of subsection (b)(1)(B), an organization which is— (A) described in section 401(a) or 501(c)(3), and (B) exempt from taxation under section 501(a), may be a shareholder in an S corporation. (d) Special rule for qualified subchapter S trust (1) In general In the case of a qualified subchapter S trust with respect t
---
n (b)(1)(B), an organization which is— (A) described in section 401(a) or 501(c)(3), and (B) exempt from taxation under section 501(a), may be a shareholder in an S corporation. (d) Special rule for qualified subchapter S trust (1) In general In the case of a qualified subchapter S trust with respect to which a beneficiary makes an election under parag"
141,2503,509,valid,,1,"ive tangible personal property. (B) Private foundation The term “private foundation” has the meaning given such term by section 509, except that such term shall not include any private operating foundation (as defined in section 4942(j)(3)). "
142,6861,6863,valid,,2,"x Court which has become final, then any unpaid portion, the collection of which has been stayed by bond as provided in section 6863(b) shall be collected as part of the tax upon notice and demand from the Secretary, and any remaining portion of the assessment shall be abated. If the amount already collected exceeds the amount determined as the amount w
---
h jeopardy assessment is abated. (h) Cross references (1) For the effect of the furnishing of security for payment, see section 6863. (2) For provision permitting immediate levy in case of jeopardy, see section 6331(a). "
143,3301,3306,valid,,3,"§ 3301. Rate of tax There is hereby imposed on every employer (as defined in section 3306(a)) for each calendar year an excise tax, with respect to having individuals in his employ, equal to 6 percent of the total wages (as defined in section 3306(b)) paid by such employer during the calendar year with respect
---
r an excise tax, with respect to having individuals in his employ, equal to 6 percent of the total wages (as defined in section 3306(b)) paid by such employer during the calendar year with respect to employment (as defined in section 3306(c)).
---
as defined in section 3306(b)) paid by such employer during the calendar year with respect to employment (as defined in section 3306(c)). "
144,6241,951,valid,,2,"defined in section 957 or 953(c)(1)) which is a partner of a partnership, each United States shareholder (as defined in section 951(b) or 953(c)(1)) with respect to such controlled foreign corporation shall be treated for purposes of this subchapter as a partner of such partnership. For purposes of the preceding sentence, any distributive share of any such United S
---
er’s pro rata share with respect to such controlled foreign corporation (determined under rules similar to the rules of section 951(a)(2)). (B) Passive foreign investment companies For purposes of subparagraph (A), in the case of a passive foreign investment company (as defined in section 1297), each taxpayer that makes an election under section 1295 with"
145,453,167,valid,,1,"property of a character which (in the hands of the transferee) is subject to the allowance for depreciation provided in section 167. (8) Payments to be received defined The term “payments to be received” includes— (A) the aggregate amount of all payments which are not contingent as to amount, and (B) the fair market value of any payments which are c"
146,1016,45L,valid,,2," extent provided in section 179B(c), 1 (31) to the extent provided in section 179D(e), 1 (32) to the extent provided in section 45L(e), in the case of amounts with respect to which a credit has been allowed under section 45L, 1 (33) to the extent provided in section 25C(g), in the case of amounts with respect to which a credit has been allowed under se
---
 to the extent provided in section 45L(e), in the case of amounts with respect to which a credit has been allowed under section 45L, 1 (33) to the extent provided in section 25C(g), in the case of amounts with respect to which a credit has been allowed under section 25C, 1 (34) to the extent provided in section 25D(f), in the case of amounts with respect to"
147,3505,3402,valid,,1,"§ 3505. Liability of third parties paying or providing for wages (a) Direct payment by third parties For purposes of sections 3102, 3202, 3402, and 3403, if a lender, surety, or other person, who is not an employer under such sections with respect to an employee or group of employees, pays wages directly to such an employee or group of employees, employed by one or more"
148,5,1341,valid,,1,", see section 692. (2) For computation of tax where taxpayer restores substantial amount held under claim of right, see section 1341. "
149,4963,4955,valid,,3,"a) First tier tax For purposes of this subchapter, the term “first tier tax” means any tax imposed by subsection (a) of section 4941, 4942, 4943, 4944, 4945, 4951, 4952, 4955, 4958, 4966, 4967, 4971, or 4975. (b) Second tier tax For purposes of this subchapter, the term “second tier tax” means any tax imposed by subsection (b) of section 4941, 4942, 4943, 4944, 4945, 4951, 4952, 4955, 4958, 4971, or 4975. (c) Taxable event
---
 Second tier tax For purposes of this subchapter, the term “second tier tax” means any tax imposed by subsection (b) of section 4941, 4942, 4943, 4944, 4945, 4951, 4952, 4955, 4958, 4971, or 4975. (c) Taxable event For purposes of this subchapter, the term “taxable event” means any act (or failure to act) giving rise to liability for tax under section 4941, 4942, 4943, 4944, 4945, 4951, 4952, 4955, 4958, 4966, 4
---
s of this subchapter, the term “taxable event” means any act (or failure to act) giving rise to liability for tax under section 4941, 4942, 4943, 4944, 4945, 4951, 4952, 4955, 4958, 4966, 4967, 4971, or 4975. (d) Correct For purposes of this subchapter— (1) In general Except as provided in paragraph (2), the term “correct” has the same meaning as when used in the section which imposes the second tier tax. (2) Special rules "
150,1301,1,valid,,2,"e (a) In general At the election of an individual engaged in a farming business or fishing business, the tax imposed by section 1 for such taxable year shall be equal to the sum of— (1) a tax computed under such section on taxable income reduced by elected farm income, plus (2) the increase in tax imposed by section 1 which would result if taxable
---
x computed under such section on taxable income reduced by elected farm income, plus (2) the increase in tax imposed by section 1 which would result if taxable income for each of the 3 prior taxable years were increased by an amount equal to one-third of the elected farm income. Any adjustment under this section for any taxable year shall be taken"
